Date Time RTD Vsamp
2020-02-24 16:42:44.140969 1103.87701 0.0019312
2020-02-24 16:42:44.168970 1103.87768 0.0019312
2020-02-24 16:42:44.200972 1103.8765 0.0019312
2020-02-24 16:42:44.245975 1103.87635 0.0019312
2020-02-24 16:42:44.291977 1103.87724 0.0019312
2020-02-24 16:42:44.317979 1103.87628 0.0019312
2020-02-24 16:42:44.352981 1103.87495 0.0019312
2020-02-24 16:42:44.395983 1103.87414 0.0019312
2020-02-24 16:42:44.438986 1103.87333 0.0019312
2020-02-24 16:42:44.483988 1103.87348 0.0019312
2020-02-24 16:42:44.526991 1103.87311 0.0019312
2020-02-24 16:42:44.559993 1103.87392 0.0019312
2020-02-24 16:42:44.593994 1103.87362 0.0019312
2020-02-24 16:42:44.637997 1103.87392 0.0019312
2020-02-24 16:42:44.685000 1103.87399 0.0019312
2020-02-24 16:42:44.715001 1103.87458 0.0019312
2020-02-24 16:42:44.746003 1103.8751 0.0019312
2020-02-24 16:42:44.791006 1103.8748 0.0019312
2020-02-24 16:42:44.834008 1103.87436 0.0019312
2020-02-24 16:42:44.877011 1103.87547 0.0019312
2020-02-24 16:42:44.922013 1103.8765 0.0019312
2020-02-24 16:42:44.963016 1103.87576 0.0019312
2020-02-24 16:42:44.996017 1103.87569 0.0019312
2020-02-24 16:42:45.033020 1103.87628 0.0019312
2020-02-24 16:42:45.076022 1103.87694 0.0019312
2020-02-24 16:42:45.123025 1103.87731 0.0019312
2020-02-24 16:42:45.152026 1103.87797 0.0019312
2020-02-24 16:42:45.183028 1103.8776 0.0019312
2020-02-24 16:42:45.228031 1103.87812 0.0019312
2020-02-24 16:42:45.271033 1103.8779 0.0019312
2020-02-24 16:42:45.314036 1103.87672 0.0019312
2020-02-24 16:42:45.359038 1103.87724 0.0019312
2020-02-24 16:42:45.388040 1103.87812 0.0019312
2020-02-24 16:42:45.416041 1103.87679 0.0019312
2020-02-24 16:42:45.463044 1103.87598 0.0019312
2020-02-24 16:42:45.510047 1103.8762 0.0019312
2020-02-24 16:42:45.540049 1103.87598 0.0019312
2020-02-24 16:42:45.572050 1103.87657 0.0019312
2020-02-24 16:42:45.615053 1103.87488 0.0019312
2020-02-24 16:42:45.660055 1103.87488 0.0019312
2020-02-24 16:42:45.704058 1103.87436 0.0019312
2020-02-24 16:42:45.747060 1103.87377 0.0019312
2020-02-24 16:42:45.791063 1103.87377 0.0019312
2020-02-24 16:42:45.833065 1103.87267 0.0019312
2020-02-24 16:42:45.867067 1103.87259 0.0019312
2020-02-24 16:42:45.902069 1103.87348 0.0019312
2020-02-24 16:42:45.945072 1103.87289 0.0019312
2020-02-24 16:42:45.976074 1103.87355 0.0019312
2020-02-24 16:42:46.007075 1103.87613 0.0019312
2020-02-24 16:42:46.051078 1103.87591 0.0019312
2020-02-24 16:42:46.098080 1103.87598 0.0019312
2020-02-24 16:42:46.142083 1103.87886 0.0019312
2020-02-24 16:42:46.185085 1103.87856 0.0019312
2020-02-24 16:42:46.230088 1103.87783 0.0019312
2020-02-24 16:42:46.269090 1103.87753 0.0019312
2020-02-24 16:42:46.300092 1103.87783 0.0019312
2020-02-24 16:42:46.333094 1103.87746 0.0019312
2020-02-24 16:42:46.376096 1103.87584 0.0019312
2020-02-24 16:42:46.420099 1103.87665 0.0019312
2020-02-24 16:42:46.464101 1103.8779 0.0019312
2020-02-24 16:42:46.509104 1103.87871 0.0019312
2020-02-24 16:42:46.552106 1103.87886 0.0019312
2020-02-24 16:42:46.599109 1103.88055 0.0019312
2020-02-24 16:42:46.646112 1103.88048 0.0019312
2020-02-24 16:42:46.688114 1103.87841 0.0019312
2020-02-24 16:42:46.722116 1103.87709 0.0019312
2020-02-24 16:42:46.757118 1103.87539 0.0019312
2020-02-24 16:42:46.801121 1103.87598 0.0019312
2020-02-24 16:42:46.845123 1103.87399 0.0019312
2020-02-24 16:42:46.888126 1103.87436 0.0019312
2020-02-24 16:42:46.934128 1103.87414 0.0019312
2020-02-24 16:42:46.977131 1103.87576 0.0019312
2020-02-24 16:42:47.020133 1103.87797 0.0019312
2020-02-24 16:42:47.066136 1103.8779 0.0019312
2020-02-24 16:42:47.104138 1103.87886 0.0019312
2020-02-24 16:42:47.136140 1103.87878 0.0019312
2020-02-24 16:42:47.169142 1103.87974 0.0019312
2020-02-24 16:42:47.212144 1103.88011 0.0019312
2020-02-24 16:42:47.244146 1103.87996 0.0019312
2020-02-24 16:42:47.274148 1103.87864 0.0019312
2020-02-24 16:42:47.319150 1103.87945 0.0019312
2020-02-24 16:42:47.364153 1103.87783 0.0019312
2020-02-24 16:42:47.409155 1103.87643 0.0019312
2020-02-24 16:42:47.456158 1103.87547 0.0019312
2020-02-24 16:42:47.487160 1103.87488 0.0019312
2020-02-24 16:42:47.519162 1103.87362 0.0019312
2020-02-24 16:42:47.559164 1103.87429 0.0019312
2020-02-24 16:42:47.590166 1103.87304 0.0019312
2020-02-24 16:42:47.624168 1103.872 0.0019312
2020-02-24 16:42:47.667170 1103.87311 0.0019312
2020-02-24 16:42:47.714173 1103.87289 0.0019312
2020-02-24 16:42:47.762176 1103.87458 0.0019312
2020-02-24 16:42:47.790177 1103.87429 0.0019312
2020-02-24 16:42:47.823179 1103.87421 0.0019312
2020-02-24 16:42:47.868182 1103.87466 0.0019312
2020-02-24 16:42:47.911184 1103.87502 0.0019312
2020-02-24 16:42:47.960187 1103.87517 0.0019312
2020-02-24 16:42:47.991189 1103.87399 0.0019312
2020-02-24 16:42:48.019190 1103.87333 0.0019312
2020-02-24 16:42:48.064193 1103.87421 0.0019312
2020-02-24 16:42:48.108195 1103.87591 0.0019312
2020-02-24 16:42:48.157198 1103.87738 0.0019312
2020-02-24 16:42:48.203201 1103.87731 0.0019312
2020-02-24 16:42:48.231203 1103.87701 0.0019312
2020-02-24 16:42:48.265204 1103.8793 0.0019312
2020-02-24 16:42:48.309207 1103.87908 0.0019312
2020-02-24 16:42:48.352209 1103.87783 0.0019312
2020-02-24 16:42:48.397212 1103.87768 0.0019312
2020-02-24 16:42:48.436214 1103.87783 0.0019312
2020-02-24 16:42:48.468216 1103.87708 0.0019312
2020-02-24 16:42:48.512219 1103.87589 0.0019312
2020-02-24 16:42:48.549221 1103.87572 0.0019312
2020-02-24 16:42:48.593223 1103.87667 0.0019312
2020-02-24 16:42:48.633225 1103.87703 0.0019312
2020-02-24 16:42:48.664227 1103.87702 0.0019312
2020-02-24 16:42:48.697229 1103.87517 0.0019312
2020-02-24 16:42:48.738232 1103.87701 0.0019312
2020-02-24 16:42:48.779234 1103.8759 0.0019312
2020-02-24 16:42:48.824236 1103.87627 0.0019312
2020-02-24 16:42:48.871239 1103.8759 0.0019312
2020-02-24 16:42:48.902241 1103.87583 0.0019312
2020-02-24 16:42:48.934243 1103.87391 0.0019312
2020-02-24 16:42:48.975245 1103.87524 0.0019312
2020-02-24 16:42:49.018248 1103.87369 0.0019312
2020-02-24 16:42:49.066250 1103.8734 0.0019312
2020-02-24 16:42:49.118253 1103.87355 0.0019312
2020-02-24 16:42:49.166256 1103.87369 0.0019312
2020-02-24 16:42:49.198258 1103.87443 0.0019312
2020-02-24 16:42:49.228260 1103.87642 0.0019312
2020-02-24 16:42:49.269262 1103.87745 0.0019312
2020-02-24 16:42:49.312264 1103.87775 0.0019312
2020-02-24 16:42:49.357267 1103.87716 0.0019312
2020-02-24 16:42:49.400269 1103.87701 0.0019312
2020-02-24 16:42:49.445272 1103.87414 0.0019312
2020-02-24 16:42:49.484274 1103.87428 0.0019312
2020-02-24 16:42:49.515276 1103.87502 0.0019312
2020-02-24 16:42:49.547278 1103.87554 0.0019312
2020-02-24 16:42:49.592280 1103.87701 0.0019312
2020-02-24 16:42:49.634283 1103.87723 0.0019312
2020-02-24 16:42:49.679285 1103.87789 0.0019312
2020-02-24 16:42:49.726288 1103.87885 0.0019312
2020-02-24 16:42:49.783291 1103.88069 0.0019312
2020-02-24 16:42:49.816293 1103.88121 0.0019312
2020-02-24 16:42:49.859296 1103.87981 0.0019312
2020-02-24 16:42:49.898298 1103.88033 0.0019312
2020-02-24 16:42:49.931300 1103.88011 0.0019312
2020-02-24 16:42:49.962302 1103.88077 0.0019312
2020-02-24 16:42:50.018305 1103.88084 0.0019312
2020-02-24 16:42:50.050307 1103.87959 0.0019312
2020-02-24 16:42:50.093309 1103.87959 0.0019312
2020-02-24 16:42:50.130311 1103.88011 0.0019312
2020-02-24 16:42:50.164313 1103.88062 0.0019312
2020-02-24 16:42:50.198315 1103.87944 0.0019312
2020-02-24 16:42:50.232317 1103.87804 0.0019312
2020-02-24 16:42:50.277320 1103.87627 0.0019312
2020-02-24 16:42:50.320322 1103.87613 0.0019312
2020-02-24 16:42:50.365325 1103.87605 0.0019312
2020-02-24 16:42:50.409327 1103.87546 0.0019312
2020-02-24 16:42:50.453330 1103.87753 0.0019312
2020-02-24 16:42:50.497332 1103.87819 0.0019312
2020-02-24 16:42:50.536334 1103.87738 0.0019312
2020-02-24 16:42:50.585337 1103.87789 0.0019312
2020-02-24 16:42:50.633340 1103.87635 0.0019312
2020-02-24 16:42:50.681343 1103.87694 0.0019312
2020-02-24 16:42:50.728345 1103.8745 0.0019312
2020-02-24 16:42:50.765347 1103.87421 0.0019312
2020-02-24 16:42:50.798349 1103.87442 0.0019312
2020-02-24 16:42:50.830351 1103.87483 0.0019312
2020-02-24 16:42:50.873354 1103.87718 0.0019312
2020-02-24 16:42:50.905355 1103.87672 0.0019312
2020-02-24 16:42:50.937357 1103.87802 0.0019312
2020-02-24 16:42:50.974359 1103.87875 0.0019312
2020-02-24 16:42:51.021362 1103.87932 0.0019312
2020-02-24 16:42:51.068365 1103.88042 0.0019312
2020-02-24 16:42:51.114367 1103.87997 0.0019312
