Date_time Time TC SENS Lockin1f Lockin2f X1(h) Y1(h) X2(t) Y2(t)
2020-02-25 16:53:33.492907 141.02506613731384 12 17 1.0 1.0 0.460512 0.065064 0.000211478 0.000533763
2020-02-25 16:55:38.664066 266.1972255706787 12 17 2.0 1.0 0.467592 0.0308229 0.000230313 0.000412824
2020-02-25 16:57:43.841226 391.3733854293823 12 17 3.0 2.0 0.468935 0.0180055 0.00023085 0.000344159
2020-02-25 16:59:54.032672 521.565831899643 12 17 4.0 4.0001 0.469362 0.0108643 0.000227929 0.000296714
2020-02-25 17:02:04.237120 651.7692792415619 12 17 5.0 4.9999 0.469545 0.00598148 0.000223876 0.000260713
2020-02-25 17:04:09.409279 776.9424386024475 12 17 6.0 5.0 0.469606 0.00219728 0.000219465 0.000231803
2020-02-25 17:06:19.598725 907.1308851242065 12 17 7.0 7.0 0.469606 -0.00097657 0.000215054 0.000207723
2020-02-25 17:08:24.773885 1032.3060445785522 12 17 8.0 7.0 0.469545 -0.00372316 0.000210644 0.00018716
2020-02-25 17:10:34.966332 1162.4994912147522 12 17 9.0 9.0001 0.469484 -0.00622562 0.000206352 0.000169278
2020-02-25 17:11:45.667375 1233.1985349655151 11 16 10.0 10.0 0.469362 -0.00860602 0.00020212 0.000153423
2020-02-25 17:12:55.860390 1303.392549753189 11 16 20.0 20.0 0.467531 -0.0297853 0.000164599 4.67899e-05
2020-02-25 17:31:33.837335 2421.3684945106506 9 16 25.21 25.21 0.465578 -0.0420535 0.000136317 -6.70555e-06
2020-02-25 17:32:49.099640 2496.631799221039 9 16 40.0 39.999 0.448244 -0.0970464 8.77385e-05 5.28398e-05
2020-02-25 17:33:59.297655 2566.8298144340515 9 16 50.0 49.9973 0.384035 -0.180543 8.70232e-05 2.29479e-05
2020-02-25 17:35:14.560960 2642.0931191444397 9 16 63.87 63.87 0.0774541 0.173951 7.33738e-05 2.98025e-06
2020-02-25 17:37:10.340582 2757.871741294861 9 16 70.0 69.9959 0.310488 0.222291 6.74729e-05 -2.3842e-06
2020-02-25 17:38:15.476307 2823.007467031479 9 16 80.0 79.9999 0.416628 0.148499 5.88598e-05 -8.61293e-06
2020-02-25 17:39:30.739612 2898.270771741867 9 16 90.0 90.0021 0.447329 0.0994878 4.89654e-05 -1.36197e-05
2020-02-25 17:40:36.433370 2963.9645290374756 11 16 100.0 100.001 0.453188 0.0858159 4.47335e-05 -1.52589e-05
2020-02-25 17:41:46.635385 3034.167544603348 11 16 300.0 300.0 0.468447 0.0192872 1.43052e-06 -1.06991e-05
2020-02-25 17:42:56.836400 3104.3685598373413 11 16 500.0 499.994 0.468935 0.0112916 -2.17558e-06 -3.6359e-06
2020-02-25 17:44:07.033415 3174.5655748844147 11 16 700.0 699.997 0.469057 0.00799567 -1.78815e-06 -9.83484e-07
2020-02-25 17:45:17.236431 3244.7685902118683 11 16 900.0 900.002 0.469057 0.00622562 -1.1325e-06 -1.1921e-07
