Date_Time RTD Rsamp
2020-02-26 11:36:06.240263 1109.05004 39.8341126 
2020-02-26 11:36:06.289266 1109.048 39.8354388 
2020-02-26 11:36:06.354270 1109.05073 39.8355861 
2020-02-26 11:36:06.442275 1109.04977 39.8353651 
2020-02-26 11:36:06.502278 1109.05014 39.8330811 
2020-02-26 11:36:06.563282 1109.05132 39.8344073 
2020-02-26 11:36:06.623285 1109.05022 39.8341126 
2020-02-26 11:36:06.708290 1109.04999 39.8347757 
2020-02-26 11:36:06.771294 1109.05007 39.8356598 
2020-02-26 11:36:06.834297 1109.05081 39.8343336 
2020-02-26 11:36:06.900301 1109.05095 39.834923 
2020-02-26 11:36:06.989306 1109.05184 39.8350704 
2020-02-26 11:36:07.086312 1109.05456 39.8358809 
2020-02-26 11:36:07.131314 1109.05493 39.8361756 
2020-02-26 11:36:07.179317 1109.0539 39.8372071 
2020-02-26 11:36:07.261322 1109.05213 39.8351441 
2020-02-26 11:36:07.322325 1109.05073 39.8355861 
2020-02-26 11:36:07.383329 1109.05073 39.8360282 
2020-02-26 11:36:07.450333 1109.05125 39.8347757 
2020-02-26 11:36:07.526337 1109.05221 39.834702 
2020-02-26 11:36:07.587341 1109.0525 39.8355861 
2020-02-26 11:36:07.654344 1109.05221 39.8355125 
2020-02-26 11:36:07.715348 1109.05162 39.8341126 
2020-02-26 11:36:07.797353 1109.05051 39.8355137 
2020-02-26 11:36:07.862356 1109.04926 39.8361044 
2020-02-26 11:36:07.929360 1109.04815 39.8357373 
2020-02-26 11:36:07.992364 1109.04837 39.836328 
2020-02-26 11:36:08.073368 1109.04852 39.8344873 
2020-02-26 11:36:08.134372 1109.04852 39.8345623 
2020-02-26 11:36:08.201376 1109.05022 39.8341951 
2020-02-26 11:36:08.268379 1109.04823 39.8337543 
2020-02-26 11:36:08.349384 1109.04918 39.8342714 
2020-02-26 11:36:08.409388 1109.05043 39.8333885 
2020-02-26 11:36:08.475391 1109.05165 39.8330201 
2020-02-26 11:36:08.544395 1109.05367 39.8325044 
2020-02-26 11:36:08.626400 1109.05322 39.8335358 
2020-02-26 11:36:08.686403 1109.05212 39.8333148 
2020-02-26 11:36:08.752407 1109.05123 39.8344937 
2020-02-26 11:36:08.819411 1109.04932 39.8358199 
2020-02-26 11:36:08.905416 1109.04725 39.8368514 
2020-02-26 11:36:08.965419 1109.04637 39.8353778 
2020-02-26 11:36:09.033423 1109.04615 39.8351568 
2020-02-26 11:36:09.094427 1109.04467 39.8358199 
2020-02-26 11:36:09.176431 1109.04453 39.8365567 
2020-02-26 11:36:09.236435 1109.04305 39.8375882 
2020-02-26 11:36:09.297438 1109.04305 39.8386933 
2020-02-26 11:36:09.363442 1109.04172 39.8397248 
2020-02-26 11:36:09.446447 1109.04165 39.838988 
2020-02-26 11:36:09.506450 1109.04025 39.8377355 
2020-02-26 11:36:09.566454 1109.0387 39.8375145 
2020-02-26 11:36:09.632458 1109.03848 39.8375882 
2020-02-26 11:36:09.720463 1109.03561 39.8379565 
2020-02-26 11:36:09.785466 1109.03288 39.8382513 
2020-02-26 11:36:09.858470 1109.03281 39.8359672 
2020-02-26 11:36:09.918474 1109.03266 39.8342726 
2020-02-26 11:36:10.006479 1109.03546 39.8322096 
2020-02-26 11:36:10.066482 1109.03745 39.8308834 
2020-02-26 11:36:10.133486 1109.03959 39.8306624 
2020-02-26 11:36:10.193490 1109.03738 39.8304414 
2020-02-26 11:36:10.275494 1109.03664 39.8303677 
2020-02-26 11:36:10.336498 1109.0345 39.8322096 
2020-02-26 11:36:10.397501 1109.0348 39.8308834 
2020-02-26 11:36:10.460505 1109.03399 39.8317676 
2020-02-26 11:36:10.545510 1109.03413 39.8322833 
2020-02-26 11:36:10.611514 1109.03531 39.8335358 
2020-02-26 11:36:10.677517 1109.03636 39.8350094 
2020-02-26 11:36:10.744521 1109.03906 39.8362619 
2020-02-26 11:36:10.826526 1109.04221 39.836997 
2020-02-26 11:36:10.887529 1109.04407 39.8392793 
2020-02-26 11:36:10.948533 1109.04348 39.837362 
2020-02-26 11:36:11.009536 1109.04355 39.8366234 
2020-02-26 11:36:11.096541 1109.04149 39.8377269 
2020-02-26 11:36:11.157545 1109.04473 39.8385356 
2020-02-26 11:36:11.224549 1109.04443 39.8399338 
2020-02-26 11:36:11.284552 1109.0434 39.8391953 
2020-02-26 11:36:11.366557 1109.04517 39.8402987 
2020-02-26 11:36:11.427560 1109.0448 39.8396339 
2020-02-26 11:36:11.491564 1109.04841 39.8392655 
2020-02-26 11:36:11.558568 1109.05018 39.8367605 
2020-02-26 11:36:11.640572 1109.04849 39.8383814 
2020-02-26 11:36:11.706576 1109.04819 39.838234 
2020-02-26 11:36:11.773580 1109.04628 39.838013 
2020-02-26 11:36:11.834583 1109.0465 39.8360237 
2020-02-26 11:36:11.919588 1109.04561 39.8343291 
2020-02-26 11:36:11.980592 1109.0451 39.8346975 
2020-02-26 11:36:12.041595 1109.04532 39.8334449 
2020-02-26 11:36:12.108599 1109.0504 39.8334449 
2020-02-26 11:36:12.190604 1109.05151 39.8321187 
2020-02-26 11:36:12.251607 1109.05062 39.8326345 
2020-02-26 11:36:12.315611 1109.04805 39.8342554 
2020-02-26 11:36:12.382615 1109.04694 39.8327818 
2020-02-26 11:36:12.464619 1109.04664 39.8308662 
2020-02-26 11:36:12.524623 1109.04664 39.8307188 
2020-02-26 11:36:12.586626 1109.04952 39.8311609 
2020-02-26 11:36:12.652630 1109.04937 39.8293926 
2020-02-26 11:36:12.739635 1109.04937 39.8293926 
2020-02-26 11:36:12.805639 1109.04981 39.8292453 
2020-02-26 11:36:12.871643 1109.04753 39.8319714 
2020-02-26 11:36:12.933646 1109.04807 39.8320451 
2020-02-26 11:36:13.021651 1109.04667 39.8318977 
2020-02-26 11:36:13.086655 1109.04507 39.8333713 
2020-02-26 11:36:13.158659 1109.04561 39.8342554 
2020-02-26 11:36:13.218663 1109.04408 39.8366131 
2020-02-26 11:36:13.306668 1109.04415 39.838013 
2020-02-26 11:36:13.366671 1109.04393 39.8389708 
2020-02-26 11:36:13.427675 1109.04357 39.8405181 
2020-02-26 11:36:13.493678 1109.04438 39.8412548 
