Date_time Time TC SENS Lockin1f Lockin2f X2 Y2 X1 Y1
2020-02-28 12:15:31.617150 190.90291905403137 11 26 10.0 10.0 -0.000241728 -0.000183166 0.469912 -0.00701907
2020-02-28 12:18:36.812743 376.0975115299225 11 26 10.544 10.5438 -0.000239016 -0.000173629 0.46979 -0.00830084
2020-02-28 12:21:36.942045 556.229814529419 11 26 11.117 11.117 -0.000239016 -0.000173629 0.46979 -0.00830084
2020-02-28 12:24:42.131638 741.4184067249298 11 26 11.722 11.7216 -0.000233323 -0.000154735 0.469728 -0.0109864
2020-02-28 12:27:47.319230 926.6069991588593 11 26 12.36 12.3601 -0.000230343 -0.000145287 0.469606 -0.0123902
2020-02-28 12:30:52.512822 1111.800591468811 11 26 13.033 13.0324 -0.000227214 -0.00013587 0.469545 -0.013855
2020-02-28 12:33:57.703414 1296.991183757782 11 26 13.742 13.742 -0.000224025 -0.000126422 0.469423 -0.0153809
2020-02-28 12:37:02.889006 1482.1757757663727 11 26 14.49 14.4897 -0.000220717 -0.000116945 0.469301 -0.0169679
2020-02-28 12:40:08.084599 1667.3703682422638 11 26 15.278 15.2783 -0.00021729 -0.000107378 0.469179 -0.0186158
2020-02-28 12:43:13.275191 1852.5629606246948 11 26 16.109 16.109 -0.000213684 -9.77223e-05 0.468996 -0.0204469
2020-02-28 12:46:18.468784 2037.752552986145 11 26 16.986 16.9854 -0.000209928 -8.78577e-05 0.468813 -0.022278
2020-02-28 12:49:23.655376 2222.9421451091766 11 26 17.91 17.909 -0.000205965 -7.76951e-05 0.46863 -0.0242311
2020-02-28 12:52:28.842968 2408.1297373771667 11 26 18.885 18.8847 -0.000201763 -6.71451e-05 0.468386 -0.0263673
2020-02-28 12:55:39.044847 2598.333616256714 11 26 19.912 19.9118 -0.000197173 -5.60882e-05 0.468142 -0.0286866
2020-02-28 12:58:49.254726 2788.5424954891205 11 26 20.99 20.9899 -0.000192137 -4.42567e-05 0.467775 -0.031067
2020-02-28 13:01:59.456605 2978.7433743476868 11 26 22.13 22.13 -0.000186176 -3.11735e-05 0.467409 -0.0336916
2020-02-28 13:05:09.670485 3168.956254005432 11 26 23.34 23.3393 -0.000178696 -1.62722e-05 0.466982 -0.0366213
2020-02-28 13:08:19.876364 3359.1631331443787 11 26 24.61 24.6105 -0.000168324 1.07289e-06 0.466433 -0.0397341
2020-02-28 13:11:30.090244 3549.376012802124 11 26 25.95 25.9495 -0.000151963 2.17558e-05 0.465822 -0.0432131
2020-02-28 13:14:40.304123 3739.588892221451 11 26 27.36 27.36 -0.00012225 4.42865e-05 0.465029 -0.0469973
2020-02-28 13:17:50.511002 3929.797771692276 11 26 28.85 28.8506 -6.69365e-05 5.43597e-05 0.464113 -0.0512698
2020-02-28 13:21:00.719882 4120.006650924683 11 26 30.42 30.4193 -3.75511e-06 8.85135e-06 0.462954 -0.0561526
2020-02-28 13:24:10.924761 4310.21252989769 11 26 32.07 32.0692 -1.11759e-05 -6.64298e-05 0.46155 -0.0615237
2020-02-28 13:27:21.139641 4500.420409440994 11 26 33.82 33.8192 -5.50153e-05 -9.1434e-05 0.459719 -0.0678716
2020-02-28 13:30:31.345520 4690.6312890052795 11 26 35.66 35.6588 -8.41622e-05 -8.63974e-05 0.457338 -0.0751958
2020-02-28 13:33:41.548399 4880.833167552948 11 26 37.6 37.6005 -9.90336e-05 -7.48639e-05 0.454226 -0.0838017
2020-02-28 13:36:51.755278 5071.042047023773 11 26 39.65 39.649 -0.000105948 -6.32708e-05 0.450014 -0.0941167
2020-02-28 13:40:01.958157 5261.2449259758 11 26 41.8 41.7995 -0.00010857 -5.2959e-05 0.444094 -0.106629
2020-02-28 13:43:12.164036 5451.450805187225 11 26 44.08 44.0788 -0.000108719 -4.38693e-05 0.435366 -0.122193
2020-02-28 13:46:22.375916 5641.661684751511 11 26 46.48 46.4783 -0.000107378 -3.58822e-05 0.42206 -0.141786
2020-02-28 13:49:32.581795 5831.8695640563965 11 26 49.01 49.0093 -0.000105143 -2.8819e-05 0.400454 -0.166566
2020-02-28 13:52:42.779673 6022.067442417145 11 26 51.67 51.6701 -0.000102252 -2.25605e-05 0.362978 -0.1969
2020-02-28 13:55:52.982552 6212.26932144165 11 26 54.49 54.4891 -9.89442e-05 -1.68682e-05 0.293093 -0.227784
2020-02-28 13:59:03.185431 6402.473200798035 11 26 57.45 57.4493 -9.53679e-05 -1.18018e-05 0.166261 -0.225404
2020-02-28 14:02:13.396311 6592.681079864502 11 26 60.58 60.5793 -9.1583e-05 -7.24199e-06 0.0160524 -0.0895391
2020-02-28 14:05:23.643192 6782.930961370468 11 26 63.87 63.8695 -8.76193e-05 -3.09946e-06 0.048218 0.145753
2020-02-28 14:08:33.851072 6973.138840913773 11 26 67.35 67.3485 -8.3596e-05 6.55655e-07 0.206422 0.234681
2020-02-28 14:11:44.054951 7163.34071969986 11 26 71.02 71.0182 -7.95131e-05 3.99354e-06 0.315798 0.221681
2020-02-28 14:14:54.258830 7353.545598745346 11 26 74.88 74.8787 -7.54003e-05 7.00357e-06 0.374331 0.189942
2020-02-28 14:18:04.462709 7543.749477863312 11 26 78.95 78.9509 -7.12876e-05 9.71562e-06 0.406557 0.161134
2020-02-28 14:21:14.669588 7733.956357240677 11 26 83.25 83.25 -6.72345e-05 1.20998e-05 0.425478 0.138001
2020-02-28 14:24:24.873467 7924.161236286163 11 26 87.78 87.78 -6.31516e-05 1.41562e-05 0.437319 0.119812
2020-02-28 14:27:35.082346 8114.369115352631 11 26 92.56 92.5598 -5.91578e-05 1.6004e-05 0.445192 0.105225
2020-02-28 14:30:45.288225 8304.575994729996 11 26 97.59 97.5866 -5.52239e-05 1.75537e-05 0.450624 0.0933843
2020-02-28 14:33:55.494105 8494.781873703003 11 26 102.9 102.9 -5.14092e-05 1.88948e-05 0.455019 0.0811162
2020-02-28 14:37:05.711984 8684.992753267288 11 26 108.5 108.496 -4.76541e-05 1.99975e-05 0.457888 0.0729375
2020-02-28 14:40:15.920864 8875.206633090973 11 26 114.41 114.409 -4.39885e-05 2.08319e-05 0.460024 0.0660405
2020-02-28 14:43:26.129743 9065.41451215744 11 26 120.63 120.629 -4.0442e-05 2.15174e-05 0.461733 0.0601199
2020-02-28 14:46:36.344623 9255.627391815186 11 26 127.2 127.198 -3.70147e-05 2.19644e-05 0.463015 0.0549929
2020-02-28 14:49:46.567503 9445.850271701813 11 26 134.12 134.119 -3.37067e-05 2.22326e-05 0.464052 0.0504153
2020-02-28 14:52:56.774382 9636.057151079178 11 26 141.42 141.422 -3.05774e-05 2.23817e-05 0.464907 0.046448
2020-02-28 14:56:06.978261 9826.264030218124 11 26 149.11 149.109 -2.75375e-05 2.23221e-05 0.465639 0.0428469
2020-02-28 14:59:17.192141 10016.47690987587 11 26 157.23 157.234 -2.46466e-05 2.21134e-05 0.466249 0.0396121
2020-02-28 15:02:27.402020 10206.687789201736 11 26 165.78 165.779 -2.19346e-05 2.17856e-05 0.466677 0.0367434
2020-02-28 15:05:37.615900 10396.901669025421 11 26 174.8 174.797 -1.93716e-05 2.13386e-05 0.467104 0.0340579
2020-02-28 15:08:47.828779 10587.113548278809 11 26 184.31 184.307 -1.69576e-05 2.08021e-05 0.46747 0.0317385
