Date time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2020-04-06 16:59:22.589212 310.851779460907 11 16 10.0 10.0 8.52352e-06 4.26176e-06 5.34656e-05 1.34111e-05
2020-04-06 17:04:32.842958 621.106525182724 11 16 13.033 13.0329 9.29838e-06 4.35117e-06 5.39126e-05 9.71562e-06
2020-04-06 17:09:43.072702 931.3352694511414 11 16 16.986 16.9854 1.01328e-05 4.29156e-06 5.37338e-05 6.61614e-06
2020-04-06 17:14:53.285445 1241.5480122566223 11 16 22.13 22.13 1.07885e-05 4.26176e-06 5.33464e-05 4.23196e-06
2020-04-06 17:20:03.496188 1551.7587552070618 11 16 28.85 28.8496 1.1474e-05 4.17235e-06 5.29888e-05 2.414e-06
2020-04-06 17:25:13.713931 1861.9764988422394 11 16 37.6 37.6005 1.21892e-05 4.11275e-06 5.23927e-05 9.23876e-07
2020-04-06 17:30:23.943676 2172.2062430381775 11 16 49.01 49.0093 1.30237e-05 4.14255e-06 5.17967e-05 -1.1921e-07
2020-04-06 17:35:34.169419 2482.431986808777 11 16 63.87 63.8695 1.37091e-05 4.08295e-06 5.12006e-05 -9.53682e-07
2020-04-06 17:40:44.384163 2792.646730184555 11 16 83.25 83.25 1.42158e-05 3.87433e-06 5.13198e-05 -1.63914e-06
2020-04-06 17:45:54.603906 3102.865473508835 11 16 108.5 108.496 1.49012e-05 3.93394e-06 5.05152e-05 -2.95044e-06
2020-04-06 17:51:04.822650 3413.0852172374725 11 16 141.42 141.422 1.56761e-05 3.6657e-06 4.99191e-05 -3.21867e-06
2020-04-06 17:56:15.045394 3723.3079607486725 11 16 184.31 184.312 1.62722e-05 3.6657e-06 4.94125e-05 -3.45708e-06
2020-04-06 18:01:25.258137 4033.51970410347 11 16 240.2 240.2 1.69874e-05 3.6061e-06 4.88462e-05 -3.45708e-06
2020-04-06 18:06:35.473880 4343.73644733429 11 16 313.0 312.998 1.76133e-05 3.33787e-06 4.82502e-05 -3.51669e-06
2020-04-06 18:11:45.706624 4653.9691915512085 11 16 408.0 407.996 1.83285e-05 3.09946e-06 4.78628e-05 -3.57629e-06
2020-04-06 18:16:55.973371 4964.235938072205 11 16 531.8 531.795 1.89842e-05 2.86104e-06 4.74157e-05 -3.6955e-06
2020-04-06 18:22:06.187114 5274.449681043625 11 16 693.1 693.1 1.97591e-05 2.3842e-06 4.70581e-05 -3.78491e-06
2020-04-06 18:27:16.407857 5584.671424627304 11 16 903.3 903.301 2.03849e-05 1.87755e-06 4.67601e-05 -3.90413e-06
2020-04-06 18:32:26.640602 5894.903168916702 11 16 1177.4 1177.42 2.113e-05 1.2219e-06 4.64621e-05 -4.02334e-06
2020-04-06 18:37:31.790055 6200.052622556686 11 16 1534.5 1534.51 2.12194e-05 1.01329e-06 4.62236e-05 -4.11275e-06
