Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2020-04-07 09:53:00.368790 310.83677911758423 11 16 10.0 10.0 9.5666e-06 4.05314e-06 5.35848e-05 1.34111e-05
2020-04-07 09:58:10.588534 621.0565226078033 11 16 13.033 13.0324 1.01925e-05 3.96374e-06 5.3704e-05 9.507e-06
2020-04-07 10:03:20.804277 931.2722661495209 11 16 16.986 16.9864 1.08481e-05 3.96374e-06 5.36742e-05 6.64595e-06
2020-04-07 10:08:31.025021 1241.4930095672607 11 16 22.13 22.1295 1.16528e-05 4.05314e-06 5.34954e-05 4.17235e-06
2020-04-07 10:13:41.237764 1551.7067527770996 11 16 28.85 28.8506 1.23382e-05 3.90413e-06 5.30186e-05 2.3246e-06
2020-04-07 10:18:51.457507 1861.9254961013794 11 16 37.6 37.5996 1.29641e-05 3.90413e-06 5.24225e-05 1.01329e-06
2020-04-07 10:24:01.675251 2172.143239736557 11 16 49.01 49.0074 1.36197e-05 3.75511e-06 5.17967e-05 -1.49013e-07
2020-04-07 10:29:06.819704 2477.287692785263 11 16 63.87 63.8695 1.45138e-05 5.63267e-06 5.11112e-05 -1.2219e-06
2020-04-07 10:34:17.035447 2787.5034363269806 11 16 83.25 83.25 1.47224e-05 3.6657e-06 5.12304e-05 -1.63914e-06
2020-04-07 10:39:27.277192 3097.745181083679 11 16 108.5 108.496 1.53781e-05 3.6955e-06 5.03364e-05 -3.03985e-06
2020-04-07 10:44:37.492936 3407.9619245529175 11 16 141.42 141.419 1.60338e-05 3.6061e-06 4.98297e-05 -3.21867e-06
2020-04-07 10:49:47.714679 3718.182668209076 11 16 184.31 184.312 1.66298e-05 3.6359e-06 4.92635e-05 -3.42728e-06
2020-04-07 10:54:57.940423 4028.409411907196 11 16 240.2 240.2 1.74047e-05 3.51669e-06 4.8876e-05 -3.6061e-06
2020-04-07 11:00:08.157167 4338.625155448914 11 16 313.0 312.998 1.80305e-05 3.27827e-06 4.82502e-05 -3.51669e-06
2020-04-07 11:05:13.301620 4643.768608570099 11 16 408.0 407.996 1.80603e-05 3.45708e-06 4.75349e-05 -3.42728e-06
2020-04-07 11:10:23.523363 4953.991352081299 11 16 531.8 531.795 1.9163e-05 3.03985e-06 4.72965e-05 -3.6359e-06
2020-04-07 11:15:33.739107 5264.207095623016 11 16 693.1 693.1 1.98187e-05 2.86104e-06 4.69687e-05 -3.6955e-06
2020-04-07 11:20:43.954850 5574.422838926315 11 16 903.3 903.301 2.04743e-05 2.62262e-06 4.66707e-05 -3.90413e-06
2020-04-07 11:25:54.173594 5884.641582489014 11 16 1177.4 1177.42 2.11002e-05 2.17558e-06 4.6313e-05 -3.93394e-06
2020-04-07 11:30:59.314047 6189.783035516739 11 16 1534.5 1534.51 2.11002e-05 1.99677e-06 4.59256e-05 -4.17235e-06
