Date_time Time TC SENS Lockin1f Lockin2f X1 Y1 X2 Y2
2020-12-15 15:49:19.737362 156.103928565979 11 16 10.0 9.9998 0.488527 0.00677493 -0.000220777 -0.000194401
2020-12-15 15:51:29.967811 286.3353774547577 11 16 11.931 11.9309 0.488832 0.0056763 -0.000210972 -0.000166983
2020-12-15 15:53:40.178259 416.5448250770569 11 16 14.236 14.2355 0.488955 0.00469974 -0.000200481 -0.000141085
2020-12-15 15:55:50.400707 546.7672736644745 11 16 16.986 16.9854 0.489016 0.00390628 -0.000189097 -0.000116617
2020-12-15 15:58:00.618155 676.9847214221954 11 16 20.26 20.2599 0.489016 0.00323488 -0.000176967 -9.38182e-05
2020-12-15 16:00:10.833603 807.1991693973541 11 16 24.18 24.1795 0.489016 0.00268556 -0.000164033 -7.26287e-05
2020-12-15 16:02:21.043050 937.4116168022156 11 16 28.85 28.8506 0.489016 0.00219728 -0.000150383 -5.33166e-05
2020-12-15 16:04:31.266499 1067.6330652236938 11 16 34.42 34.42 0.489016 0.00183106 -0.000136227 -3.60908e-05
2020-12-15 16:06:41.483947 1197.8495132923126 11 16 41.07 41.0719 0.489016 0.00146485 -0.000121624 -2.09213e-05
2020-12-15 16:08:51.698395 1328.064961194992 11 16 49.01 49.0074 0.488955 0.00115968 -0.000106872 -8.01688e-06
2020-12-15 16:11:01.909842 1458.275408744812 11 16 58.48 58.4774 0.488955 0.000915531 -9.21194e-05 2.62262e-06
2020-12-15 16:13:12.121290 1588.487856388092 11 16 69.77 69.7689 0.488894 0.000793461 -7.77249e-05 1.09375e-05
2020-12-15 16:15:22.340738 1718.6993041038513 11 16 83.25 83.25 0.488894 0.000610355 -6.38668e-05 1.69874e-05
2020-12-15 16:17:32.554186 1848.9177520275116 11 16 99.33 99.329 0.488832 0.000488285 -5.0843e-05 2.08617e-05
2020-12-15 16:19:42.774634 1979.1392006874084 11 16 118.52 118.518 0.488832 0.000366213 -3.87433e-05 2.31863e-05
2020-12-15 16:21:52.994082 2109.359648704529 11 16 141.42 141.419 0.488832 0.000305178 -2.82229e-05 2.32161e-05
2020-12-15 16:24:03.215530 2239.5800969600677 11 16 168.73 168.732 0.488771 0.000183106 -1.92822e-05 2.1875e-05
2020-12-15 16:26:13.434979 2369.8005447387695 11 16 201.3 201.297 0.488771 0.000183106 -1.19508e-05 1.94908e-05
2020-12-15 16:28:23.674428 2500.039994239807 11 16 240.2 240.2 0.488771 0.000122071 -6.31812e-06 1.64808e-05
2020-12-15 16:30:33.890876 2630.2554421424866 11 16 286.6 286.602 0.48871 6.10356e-05 -2.23519e-06 1.31429e-05
2020-12-15 16:32:44.109324 2760.472890138626 11 16 341.9 341.904 0.488771 6.10356e-05 4.47037e-07 9.89443e-06
2020-12-15 16:34:54.317771 2890.6843378543854 11 16 408.0 407.996 0.48871 0.0 1.93717e-06 6.91417e-06
2020-12-15 16:37:04.536219 3020.901785850525 11 16 486.8 486.797 0.48871 0.0 2.50341e-06 4.44058e-06
2020-12-15 16:39:09.686378 3146.052943944931 11 16 580.9 580.91 0.48871 0.0 2.50341e-06 4.26176e-06
2020-12-15 16:41:19.906826 3276.272392272949 11 16 693.1 693.1 0.48871 6.10356e-05 2.05637e-06 1.1623e-06
2020-12-15 16:43:30.126274 3406.4878401756287 11 16 827.0 826.988 0.488649 0.0 1.51993e-06 3.27827e-07
2020-12-15 16:45:40.346722 3536.7112884521484 11 16 986.7 986.708 0.488588 6.10356e-05 1.01329e-06 -8.94074e-08
2020-12-15 16:47:50.560170 3666.9257361888885 11 16 1177.4 1177.42 0.488588 6.10356e-05 5.66248e-07 -2.68223e-07
2020-12-15 16:50:00.777618 3797.143184185028 11 16 1404.8 1404.82 0.488649 6.10356e-05 2.3842e-07 -2.68223e-07
2020-12-15 16:52:11.001066 3927.3666326999664 11 16 1676.2 1676.19 0.488588 6.10356e-05 8.94074e-08 -2.08617e-07
