R,X2,Y2,freq,modified X2,modified Y2,theta,theta_smooth
0.00035655783951695695,-0.000262411,-0.0002414,10.0,0.00024140000000000007,-0.000262411,0.7437181848408806,0.7437181848408806
0.00032814188967884,-0.000252279,-0.00020983900000000002,11.931,0.00020983900000000002,-0.000252279,0.6938170432612326,0.6938170432612326
0.0003012627437470488,-0.00024154900000000003,-0.000180037,14.235999999999999,0.000180037,-0.000241549,0.6405143427344342,0.6405143427344342
0.00027530124774871617,-0.00022983599999999997,-0.00015154600000000002,16.986,0.00015154600000000004,-0.00022983599999999997,0.5829311177105551,0.5829311177105551
0.00025020411600531274,-0.000217021,-0.000124515,20.26,0.00012451499999999998,-0.000217021,0.5208915952131191,0.5208915952131191
0.00022584211883402085,-0.000202985,-9.900379999999999e-05,24.18,9.90038e-05,-0.00020298499999999998,0.45379117919105,0.45379117919105
0.00020248432192703219,-0.000187934,-7.53705e-05,28.85,7.537050000000004e-05,-0.000187934,0.38140924743601967,0.38140924743601967
0.00018016773953735444,-0.00017193099999999998,-5.3853e-05,34.42,5.3853000000000014e-05,-0.00017193099999999998,0.3035447668739936,0.3035447668739936
0.00015895688167176029,-0.000155152,-3.4570900000000005e-05,41.07,3.457089999999999e-05,-0.000155152,0.2192380992906814,0.2192380992906814
0.0001390055152045774,-0.000137866,-1.77623e-05,49.01,1.7762300000000015e-05,-0.00013786599999999997,0.1281315774959801,0.1281315774959801
0.00012042511463214018,-0.000120372,-3.57629e-06,58.48,3.5762900000000183e-06,-0.000120372,0.02970157752540383,0.02970157752540383
0.00010317841955727417,-0.00010287799999999999,7.86787e-06,69.77,-7.86786999999999e-06,-0.00010287799999999999,-0.07632909190233587,-0.07632909190233587
8.744531347670956e-05,-8.586100000000001e-05,1.65702e-05,83.25,-1.657019999999999e-05,-8.586100000000001e-05,-0.19064489446980787,-0.19064489446980787
7.323886619998974e-05,-6.96485e-05,2.2649899999999998e-05,99.33,-2.2649899999999998e-05,-6.964849999999999e-05,-0.31441547981025353,-0.31441547981025353
6.053707639760943e-05,-5.4300100000000005e-05,2.6762600000000004e-05,118.52,-2.67626e-05,-5.430010000000001e-05,-0.45792305590823373,-0.45792305590823373
4.931668525245792e-05,-4.07102e-05,2.78355e-05,141.42,-2.7835500000000005e-05,-4.07102e-05,-0.5997348055394525,-0.5997348055394525
3.955550134431366e-05,-2.88786e-05,2.70308e-05,168.73,-2.7030800000000002e-05,-2.8878599999999995e-05,-0.7523602903530031,-0.7523602903530031
3.1204882619231236e-05,-1.89842e-05,2.47658e-05,201.3,-2.47658e-05,-1.8984199999999994e-05,-0.9167876946274525,-0.9167876946274525
2.416628449989779e-05,-1.11163e-05,2.1457800000000003e-05,240.2,-2.1457800000000007e-05,-1.1116299999999996e-05,-1.0928100234279527,-1.0928100234279527
1.837772781242556e-05,-5.24524e-06,1.76133e-05,286.6,-1.7613299999999996e-05,-5.245240000000004e-06,-1.2813591396462132,-1.2813591396462132
1.3733764527615873e-05,-1.2219e-06,1.3679300000000001e-05,341.9,-1.3679300000000001e-05,-1.2218999999999993e-06,-1.481708021129423,-1.481708021129423
1.0028746324984994e-05,1.2219e-06,9.95403e-06,408.0,-9.95403e-06,1.2218999999999984e-06,1.4486530892267586,-1.6929395643630345
7.147247528566504e-06,2.4736099999999998e-06,6.70555e-06,486.8,-6.7055500000000005e-06,2.4736099999999977e-06,1.2173931439196561,-1.924199509670137
4.951614963564918e-06,2.8014299999999995e-06,4.0829500000000004e-06,580.9,-4.082950000000001e-06,2.8014299999999983e-06,0.9694406141569164,-2.1721520394328766
3.3426624221569248e-06,2.5630099999999997e-06,2.14578e-06,693.1,-2.1457800000000014e-06,2.5630099999999984e-06,0.6970223374701977,-2.4445703161195955
2.1757883156090807e-06,1.99677e-06,8.64271e-07,827.0,-8.642709999999993e-07,1.9967700000000005e-06,0.408487803977391,-2.733104849612402
1.3760833013302649e-06,1.3709100000000001e-06,1.1921e-07,986.7,-1.1921000000000034e-07,1.3709100000000001e-06,0.08673865344477955,-3.0548540001450135
8.392445817257327e-07,8.04666e-07,-2.3842e-07,1177.4,2.384199999999997e-07,8.046660000000001e-07,-0.28805595480784446,-3.4296486083976374
4.851492129530872e-07,3.5763000000000006e-07,-3.2782699999999996e-07,1404.8,3.2782699999999996e-07,3.5762999999999995e-07,-0.7419465082869272,-3.8835391618767203
3.209827483292521e-07,1.1921e-07,-2.98025e-07,1676.2,2.9802499999999994e-07,1.1921000000000007e-07,-1.1902899496825317,-4.331882603272325
