Date_time Time TC SENS Lockin1f Lockin2f X1 Y1 X2 Y2
2020-12-18 14:44:33.502474 130.8944866657257 11 16 10.0 10.0 0.459108 0.00634769 -0.000262411 -0.0002414
2020-12-18 14:46:43.718922 261.1109344959259 11 16 11.931 11.9305 0.458742 0.00524905 -0.000252279 -0.000209839
2020-12-18 14:48:53.972372 391.36338448524475 11 16 14.236 14.2355 0.458132 0.00433353 -0.000241549 -0.000180037
2020-12-18 14:51:04.205821 521.5968334674835 11 16 16.986 16.9854 0.457399 0.00360109 -0.000229836 -0.000151546
2020-12-18 14:53:14.449271 651.814281463623 11 16 20.26 20.2599 0.456789 0.00299074 -0.000217021 -0.000124515
2020-12-18 14:55:24.665719 782.0537307262421 11 16 24.18 24.1795 0.456179 0.00238039 -0.000202985 -9.90038e-05
2020-12-18 14:57:34.879167 912.2711787223816 11 16 28.85 28.8506 0.455629 0.00195314 -0.000187934 -7.53705e-05
2020-12-18 14:59:45.089614 1042.4806263446808 11 16 34.42 34.42 0.455202 0.00158692 -0.000171931 -5.3853e-05
2020-12-18 15:01:55.300062 1172.6920738220215 11 16 41.07 41.0709 0.454775 0.00128175 -0.000155152 -3.45709e-05
2020-12-18 15:04:05.513510 1302.9055218696594 11 16 49.01 49.0093 0.45447 0.00097657 -0.000137866 -1.77623e-05
2020-12-18 15:06:15.748959 1433.1389708518982 11 16 58.48 58.4774 0.454165 0.000793461 -0.000120372 -3.57629e-06
2020-12-18 15:08:25.967407 1563.3584189414978 11 16 69.77 69.767 0.453981 0.000610355 -0.000102878 7.86787e-06
2020-12-18 15:10:36.205856 1693.5988681316376 11 16 83.25 83.25 0.453798 0.000488285 -8.5861e-05 1.65702e-05
2020-12-18 15:12:46.409303 1823.8013153076172 11 16 99.33 99.329 0.453737 0.000366213 -6.96485e-05 2.26499e-05
2020-12-18 15:14:56.626751 1954.0167632102966 11 16 118.52 118.518 0.453676 0.000244142 -5.43001e-05 2.67626e-05
2020-12-18 15:17:06.857200 2084.247211933136 11 16 141.42 141.419 0.453676 0.000244142 -4.07102e-05 2.78355e-05
2020-12-18 15:19:17.077648 2214.467660188675 11 16 168.73 168.732 0.453676 0.000122071 -2.88786e-05 2.70308e-05
2020-12-18 15:21:27.290096 2344.680107831955 11 16 201.3 201.297 0.453737 0.000122071 -1.89842e-05 2.47658e-05
2020-12-18 15:23:37.525545 2474.9175567626953 11 16 240.2 240.2 0.453859 6.10356e-05 -1.11163e-05 2.14578e-05
2020-12-18 15:25:47.745993 2605.134004831314 11 16 286.6 286.602 0.453981 0.0 -5.24524e-06 1.76133e-05
2020-12-18 15:27:57.955441 2735.347452878952 11 16 341.9 341.904 0.453798 0.0 -1.2219e-06 1.36793e-05
2020-12-18 15:30:08.166888 2865.5569002628326 11 16 408.0 407.996 0.453432 -6.10356e-05 1.2219e-06 9.95403e-06
2020-12-18 15:32:18.400337 2995.7893493175507 11 16 486.8 486.797 0.453066 -6.10356e-05 2.47361e-06 6.70555e-06
2020-12-18 15:34:28.605784 3125.9997968673706 11 16 580.9 580.91 0.452639 0.0 2.80143e-06 4.08295e-06
2020-12-18 15:36:38.806232 3256.197243452072 11 16 693.1 693.1 0.452211 0.0 2.56301e-06 2.14578e-06
2020-12-18 15:38:49.007679 3386.3976907730103 11 16 827.0 826.988 0.451784 0.0 1.99677e-06 8.64271e-07
2020-12-18 15:40:59.248128 3516.639139890671 11 16 986.7 986.687 0.451296 0.0 1.37091e-06 1.1921e-07
2020-12-18 15:43:09.454575 3646.8455872535706 11 16 1177.4 1177.42 0.450991 0.0 8.04666e-07 -2.3842e-07
2020-12-18 15:45:19.678024 3777.067035675049 11 16 1404.8 1404.82 0.450747 0.0 3.5763e-07 -3.27827e-07
2020-12-18 15:47:29.887471 3907.274483203888 11 16 1676.2 1676.19 0.450441 0.0 1.1921e-07 -2.98025e-07
