Date_time Time V_input X1 Y1 X1_ref Y1_ref X3 Y3 X3_ref Y3_ref
2020-02-03 16:06:36.683973 251.95041060447693 0.004 9.15532e-05 -0.000102997 0.000118256 -0.000225068 -7.45064e-09 0.0 0.0 0.0
2020-02-03 16:10:53.728675 508.99411273002625 0.068 0.00253297 -3.05178e-05 0.00307085 -3.81472e-05 3.42729e-07 -7.45064e-09 1.48267e-06 -6.70557e-08
2020-02-03 16:15:10.771377 766.0378148555756 0.338 0.0125809 -0.000144959 0.0152321 -0.000186921 2.33205e-06 2.23518e-07 4.30646e-06 -2.16068e-07
2020-02-03 16:19:27.810079 1023.0755167007446 0.668 0.0248452 -0.000289919 0.0299989 -0.000370027 1.8552e-06 2.3246e-06 3.47199e-06 -6.10951e-07
2020-02-03 16:23:44.850781 1280.1172184944153 0.996 0.0371592 -0.000434877 0.0446932 -0.000553135 3.27827e-07 7.73376e-06 1.98932e-06 -1.75834e-06
2020-02-03 16:28:01.896483 1537.1629207134247 1.316 0.0493205 -0.000583652 0.0589945 -0.000728611 -1.69129e-06 1.7889e-05 1.15485e-06 -4.14255e-06
2020-02-03 16:32:18.946186 1794.2116231918335 1.632 0.0615427 -0.000740055 0.0730977 -0.000900272 -4.1202e-06 3.41909e-05 1.98932e-06 -8.15099e-06
2020-02-03 16:36:35.991888 2051.258325099945 1.962 0.074574 -0.000915531 0.0877805 -0.00107575 -7.29415e-06 5.95676e-05 9.90934e-07 -1.43052e-05
2020-02-04 10:54:17.951976 377.0385653972626 2.2 0.0785069 -0.000972752 0.0921483 -0.00113297 1.89991e-06 7.05202e-05 1.27853e-05 -1.62349e-05
2020-02-04 11:00:35.010543 754.0971319675446 2.3 0.0829167 -0.00103379 0.096909 -0.00119019 1.07289e-06 8.31191e-05 1.27406e-05 -1.68533e-05
2020-02-04 11:06:52.056109 1131.1436975002289 2.4 0.086987 -0.00109483 0.1013 -0.0012436 1.49757e-06 9.2112e-05 1.43201e-05 -2.22699e-05
2020-02-03 16:40:53.034590 2308.3010272979736 2.554 0.098866 -0.0012703 0.109219 -0.00138474 -1.74643e-05 0.0001328 -4.67899e-06 -3.17695e-05
2020-02-04 11:13:09.098674 1508.1852633953094 2.6 0.0949063 -0.00121308 0.109219 -0.00134278 2.04147e-06 0.000123926 1.65181e-05 -2.15099e-05
2020-02-04 11:19:26.149240 1885.235829114914 2.7 0.0989766 -0.00127412 0.109219 -0.00139619 1.63914e-07 0.000136056 1.56612e-05 -2.81708e-05
