Date Time RTDl RTDr Vsamp
2020-06-23 10:51:56.802042 1090.29149 1090.47412 3.0345812e-06
2020-06-23 10:51:56.889047 1090.29024 1090.47397 3.0372733e-06
2020-06-23 10:51:56.974052 1090.28847 1090.47345 2.9679517e-06
2020-06-23 10:51:57.043056 1090.29068 1090.47537 2.98477733e-06
2020-06-23 10:51:57.113060 1090.29245 1090.47603 2.8932459e-06
2020-06-23 10:51:57.188064 1090.29297 1090.47618 3.01102532e-06
2020-06-23 10:51:57.261068 1090.29252 1090.47766 3.13082381e-06
2020-06-23 10:51:57.329072 1090.29194 1090.4767 3.06082934e-06
2020-06-23 10:51:57.413077 1090.29135 1090.47699 3.03660072e-06
2020-06-23 10:51:57.479081 1090.29496 1090.47463 2.85959522e-06
2020-06-23 10:51:57.557085 1090.29547 1090.47552 2.65499568e-06
2020-06-23 10:51:57.632089 1090.29591 1090.47567 2.61730626e-06
2020-06-23 10:51:57.711094 1090.29805 1090.4778 2.67316736e-06
2020-06-23 10:51:57.767097 1090.29326 1090.47957 2.94103143e-06
2020-06-23 10:51:57.834101 1090.29164 1090.47847 3.05948388e-06
2020-06-23 10:51:57.902105 1090.29142 1090.47721 3.25196912e-06
2020-06-23 10:51:57.970109 1090.28914 1090.47825 3.25735332e-06
2020-06-23 10:51:58.051113 1090.29086 1090.47684 3.22975928e-06
2020-06-23 10:51:58.122117 1090.29265 1090.47861 3.23110534e-06
2020-06-23 10:51:58.192121 1090.29455 1090.47758 3.25331517e-06
2020-06-23 10:51:58.264126 1090.2934 1090.4781 3.12947851e-06
2020-06-23 10:51:58.343130 1090.29266 1090.47913 3.22235601e-06
2020-06-23 10:51:58.407134 1090.29465 1090.48087 3.10659565e-06
2020-06-23 10:51:58.467137 1090.29465 1090.48023 3.15774558e-06
2020-06-23 10:51:58.545142 1090.29458 1090.47834 3.21293365e-06
2020-06-23 10:51:58.630147 1090.29207 1090.47794 3.05881086e-06
2020-06-23 10:51:58.722152 1090.29119 1090.47802 2.76873695e-06
2020-06-23 10:51:58.816157 1090.2934 1090.47831 2.74518107e-06
2020-06-23 10:51:58.931164 1090.29716 1090.47433 2.92824395e-06
2020-06-23 10:51:58.997167 1090.29951 1090.47581 2.96324127e-06
2020-06-23 10:51:59.061171 1090.2987 1090.47455 2.91814857e-06
2020-06-23 10:51:59.146176 1090.30062 1090.47522 2.89593873e-06
2020-06-23 10:51:59.215180 1090.29988 1090.4764 2.82257898e-06
2020-06-23 10:51:59.300185 1090.30054 1090.47581 2.93632025e-06
2020-06-23 10:51:59.380189 1090.30018 1090.47595 2.85084604e-06
2020-06-23 10:51:59.469194 1090.30054 1090.47905 3.03660102e-06
2020-06-23 10:51:59.530198 1090.29671 1090.47802 2.91814823e-06
2020-06-23 10:51:59.597202 1090.29583 1090.4775 3.1604368e-06
2020-06-23 10:51:59.677206 1090.29671 1090.47691 3.0890956e-06
2020-06-23 10:51:59.731209 1090.29377 1090.47721 3.09515248e-06
2020-06-23 10:51:59.813214 1090.2934 1090.4792 3.0958255e-06
2020-06-23 10:51:59.864217 1090.29155 1090.47986 3.00025592e-06
2020-06-23 10:51:59.933221 1090.29207 1090.47654 3.0049671e-06
2020-06-23 10:52:00.018226 1090.29229 1090.47603 3.11332416e-06
2020-06-23 10:52:00.106231 1090.29178 1090.47536 3.09178735e-06
2020-06-23 10:52:00.169235 1090.29347 1090.47897 3.24523709e-06
2020-06-23 10:52:00.237238 1090.29354 1090.47816 3.18735693e-06
2020-06-23 10:52:00.319243 1090.29458 1090.47757 3.17187735e-06
2020-06-23 10:52:00.397248 1090.29508 1090.47662 2.93228038e-06
2020-06-23 10:52:00.467252 1090.29498 1090.47728 3.04198349e-06
2020-06-23 10:52:00.541256 1090.29731 1090.47713 2.96795071e-06
2020-06-23 10:52:00.621260 1090.2984 1090.4817 2.88987979e-06
2020-06-23 10:52:00.696265 1090.29465 1090.48141 2.84276803e-06
2020-06-23 10:52:00.759268 1090.29568 1090.48205 2.82796147e-06
2020-06-23 10:52:00.858274 1090.29553 1090.47812 2.81853912e-06
2020-06-23 10:52:00.927278 1090.29457 1090.47759 2.87170811e-06
2020-06-23 10:52:01.014283 1090.29236 1090.47676 2.84613316e-06
2020-06-23 10:52:01.083287 1090.29162 1090.4786 2.89459097e-06
2020-06-23 10:52:01.157291 1090.29354 1090.47838 2.9168008e-06
2020-06-23 10:52:01.236296 1090.29708 1090.47912 2.93497248e-06
2020-06-23 10:52:01.304299 1090.2959 1090.47846 2.9060324e-06
2020-06-23 10:52:01.368303 1090.29686 1090.47757 2.79969442e-06
2020-06-23 10:52:01.464309 1090.29612 1090.47963 2.64287955e-06
2020-06-23 10:52:01.539313 1090.30165 1090.48111 2.55404022e-06
2020-06-23 10:52:01.602317 1090.30194 1090.48148 2.56548165e-06
2020-06-23 10:52:01.674321 1090.30135 1090.48251 2.60451711e-06
2020-06-23 10:52:01.749325 1090.30224 1090.4831 2.68797244e-06
2020-06-23 10:52:01.828329 1090.29759 1090.48383 2.87170854e-06
2020-06-23 10:52:01.914334 1090.29671 1090.48442 2.99285329e-06
2020-06-23 10:52:01.992339 1090.29546 1090.48155 3.22168194e-06
2020-06-23 10:52:02.058343 1090.29472 1090.48015 3.14899521e-06
