Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2020-06-25 12:05:36.4154242277.955291748047 15 16 0.01 0.0099 -0.000121713 3.87433e-06 1.15336e-05 -4.76841e-07
2020-06-25 12:35:41.6226764083.162543773651 15 16 0.0158 0.01 -0.000122637 5.60287e-06 1.02819e-05 -1.1921e-06
2020-06-25 13:05:46.8279285888.366795301437 15 16 0.0251 0.0157 -0.000122101 7.77846e-06 9.59641e-06 -7.74864e-07
2020-06-25 13:36:12.0503257713.591192483902 15 16 0.0398 0.0337 -0.000121147 1.09971e-05 9.59641e-06 -9.53682e-07
2020-06-25 14:06:57.2938669558.83373427391 15 16 0.0631 0.0631 -0.000119478 1.62722e-05 9.35799e-06 -1.1921e-06
2020-06-25 14:17:23.03065710184.570524215698 13 16 0.1 0.1 -0.00011617 2.42592e-05 9.11957e-06 -1.60933e-06
2020-06-25 14:27:48.25441710809.795284986496 13 16 0.1585 0.1584 -0.000109256 3.53756e-05 8.73214e-06 -2.14578e-06
2020-06-25 14:38:13.46817711435.008045196533 13 16 0.2512 0.2512 -9.56361e-05 4.79224e-05 7.98708e-06 -2.77163e-06
2020-06-25 14:48:38.68793812060.22880578041 13 16 0.3981 0.398 -7.38804e-05 5.69525e-05 6.70555e-06 -3.27827e-06
2020-06-25 14:59:03.90569812685.446566343307 13 16 0.631 0.631 -4.83694e-05 5.66544e-05 5.27504e-06 -3.24847e-06
2020-06-25 15:04:09.57418212991.114049434662 13 15 1.0 0.631 -2.72916e-05 4.77063e-05 3.88178e-06 -2.78653e-06
2020-06-25 15:09:14.77563813296.314505815506 13 15 1.5849 1.0 -1.3657e-05 3.53979e-05 3.59864e-06 -1.49757e-06
2020-06-25 15:14:19.98209513601.521962881088 13 15 2.511 1.5849 -6.54909e-06 2.51682e-05 2.84614e-06 -1.35601e-06
2020-06-25 15:19:30.68386613912.222733736038 13 15 3.981 3.981 -2.68222e-06 1.70172e-05 2.58537e-06 -1.207e-06
2020-06-25 15:24:40.90461014222.444477558136 13 15 6.309 6.3088 -7.82315e-07 1.13324e-05 2.39165e-06 -7.2271e-07
2020-06-25 15:29:51.63938314533.180250406265 12 15 10.0 9.9998 1.78815e-07 7.49531e-06 2.34695e-06 -2.60772e-07
2020-06-25 15:35:01.85812614843.398993968964 12 15 15.848 15.8477 7.59963e-07 5.02172e-06 2.02657e-06 4.67154e-06
2020-06-25 15:40:12.07887015153.618737459183 12 15 25.11 25.1093 1.22935e-06 3.29317e-06 2.46616e-06 3.08455e-06
2020-06-25 15:45:22.31861515463.85748243332 12 15 39.81 39.8102 1.45287e-06 1.91481e-06 2.67477e-06 1.83285e-06
2020-06-25 15:50:32.54535915774.085226297379 12 15 63.09 63.0875 1.32621e-06 1.01329e-06 2.59282e-06 1.01329e-06
