Date Time RTDl RTDr Vsamp
2020-07-08 12:35:11.627596 1092.3122 1092.43126 7.4155559e-07
2020-07-08 12:35:11.693599 1092.31438 1092.43045 5.81376136e-07
2020-07-08 12:35:11.768604 1092.31561 1092.4289 7.86648125e-07
2020-07-08 12:35:11.842608 1092.31552 1092.42787 8.05492766e-07
2020-07-08 12:35:11.916612 1092.31676 1092.42882 9.30002005e-07
2020-07-08 12:35:12.032619 1092.31669 1092.43118 7.11269558e-07
2020-07-08 12:35:12.113623 1092.31588 1092.4328 8.32414814e-07
2020-07-08 12:35:12.184627 1092.31322 1092.4331 7.65787719e-07
2020-07-08 12:35:12.271632 1092.31337 1092.4331 9.03759056e-07
2020-07-08 12:35:12.342637 1092.31322 1092.43236 8.66070305e-07
2020-07-08 12:35:12.412641 1092.31433 1092.43229 8.73473562e-07
2020-07-08 12:35:12.488645 1092.31485 1092.43148 9.38083804e-07
2020-07-08 12:35:12.555649 1092.3144 1092.43133 1.01750056e-06
2020-07-08 12:35:12.635653 1092.31249 1092.43052 1.07807266e-06
2020-07-08 12:35:12.704657 1092.31101 1092.42963 1.21065826e-06
2020-07-08 12:35:12.770661 1092.31146 1092.42978 1.19585175e-06
2020-07-08 12:35:12.879667 1092.31462 1092.43347 9.36064734e-07
2020-07-08 12:35:12.966672 1092.31433 1092.4331 8.84241936e-07
2020-07-08 12:35:13.032676 1092.31389 1092.43325 1.20056291e-06
2020-07-08 12:35:13.119681 1092.31337 1092.4303 1.1857564e-06
2020-07-08 12:35:13.186685 1092.31367 1092.4289 1.0821108e-06
2020-07-08 12:35:13.266689 1092.31477 1092.42897 9.60966598e-07
2020-07-08 12:35:13.339694 1092.31352 1092.42971 9.70388925e-07
2020-07-08 12:35:13.410698 1092.3147 1092.42949 1.20729315e-06
2020-07-08 12:35:13.481702 1092.31499 1092.43022 1.25911594e-06
2020-07-08 12:35:13.557706 1092.31477 1092.43089 1.39439364e-06
2020-07-08 12:35:13.630710 1092.31654 1092.4289 1.15210523e-06
2020-07-08 12:35:13.711715 1092.3147 1092.42919 1.09153313e-06
2020-07-08 12:35:13.781719 1092.31352 1092.4303 8.24342857e-07
2020-07-08 12:35:13.857723 1092.31138 1092.43236 8.40495418e-07
2020-07-08 12:35:13.934728 1092.31264 1092.43428 8.67416352e-07
2020-07-08 12:35:14.004732 1092.31404 1092.43384 7.49637265e-07
2020-07-08 12:35:14.091737 1092.31358 1092.43155 7.15313074e-07
2020-07-08 12:35:14.188742 1092.31295 1092.4303 8.0886332e-07
2020-07-08 12:35:14.256746 1092.31241 1092.43 8.53282861e-07
2020-07-08 12:35:14.349751 1092.31698 1092.43081 8.70111793e-07
2020-07-08 12:35:14.409755 1092.31889 1092.42757 9.00399207e-07
2020-07-08 12:35:14.487759 1092.31912 1092.42765 8.23675915e-07
2020-07-08 12:35:14.560763 1092.31639 1092.42846 6.9109088e-07
2020-07-08 12:35:14.633768 1092.31639 1092.42882 7.7723794e-07
2020-07-08 12:35:14.750774 1092.31587 1092.42934 7.75218868e-07
2020-07-08 12:35:14.824778 1092.32015 1092.42698 1.0013549e-06
2020-07-08 12:35:14.914784 1092.31794 1092.42882 9.98662804e-07
2020-07-08 12:35:14.990788 1092.31764 1092.42846 9.9798978e-07
2020-07-08 12:35:15.071793 1092.3144 1092.42853 1.05317774e-06
2020-07-08 12:35:15.143797 1092.31285 1092.42877 1.03769819e-06
2020-07-08 12:35:15.215801 1092.31123 1092.42939 1.18643647e-06
2020-07-08 12:35:15.316807 1092.31042 1092.42906 1.1420169e-06
2020-07-08 12:35:15.389811 1092.31293 1092.42841 1.04240936e-06
2020-07-08 12:35:15.460815 1092.31521 1092.42856 1.17297599e-06
2020-07-08 12:35:15.550820 1092.31536 1092.42849 1.18307135e-06
2020-07-08 12:35:15.639825 1092.31602 1092.43011 1.08346382e-06
2020-07-08 12:35:15.706829 1092.31447 1092.42952 9.21265055e-07
2020-07-08 12:35:15.789834 1092.31506 1092.42937 9.25976222e-07
2020-07-08 12:35:15.874839 1092.31359 1092.43195 8.12235183e-07
2020-07-08 12:35:15.969844 1092.31374 1092.43107 9.38090653e-07
2020-07-08 12:35:16.037848 1092.31381 1092.42974 8.52616617e-07
2020-07-08 12:35:16.101852 1092.31528 1092.43018 1.0181805e-06
2020-07-08 12:35:16.188857 1092.31536 1092.43018 1.0464475e-06
2020-07-08 12:35:16.249860 1092.31514 1092.43004 9.34725533e-07
2020-07-08 12:35:16.318864 1092.31499 1092.43063 8.64731047e-07
2020-07-08 12:35:16.396868 1092.31424 1092.43099 7.42240697e-07
2020-07-08 12:35:16.458872 1092.31304 1092.43188 7.11281597e-07
2020-07-08 12:35:16.525876 1092.3125 1092.43262 8.8761386e-07
2020-07-08 12:35:16.602880 1092.31152 1092.43048 1.0154884e-06
2020-07-08 12:35:16.677884 1092.31137 1092.42797 9.72414872e-07
2020-07-08 12:35:16.745888 1092.3127 1092.42753 1.0774066e-06
2020-07-08 12:35:16.814892 1092.31513 1092.42672 9.65011609e-07
2020-07-08 12:35:16.893897 1092.31521 1092.42738 1.14336294e-06
2020-07-08 12:35:16.953900 1092.31432 1092.43099 1.07606055e-06
2020-07-08 12:35:17.023904 1092.31049 1092.43004 1.16961088e-06
2020-07-08 12:35:17.097909 1092.30983 1092.43055 1.12384525e-06
2020-07-08 12:35:17.176913 1092.31182 1092.43026 1.2436435e-06
2020-07-08 12:35:17.253917 1092.31307 1092.429 1.17701414e-06
2020-07-08 12:35:17.314921 1092.31329 1092.42841 1.27123748e-06
2020-07-08 12:35:17.381925 1092.3141 1092.42709 1.34123197e-06
2020-07-08 12:35:17.460929 1092.31241 1092.42891 9.69722776e-07
2020-07-08 12:35:17.545934 1092.31602 1092.42978 9.05785505e-07
2020-07-08 12:35:17.614938 1092.31499 1092.42983 8.68769191e-07
2020-07-08 12:35:17.693943 1092.31403 1092.42834 9.19919007e-07
2020-07-08 12:35:17.771947 1092.31255 1092.42856 9.90586517e-07
2020-07-08 12:35:17.839951 1092.31233 1092.42907 9.44820892e-07
2020-07-08 12:35:17.924956 1092.31329 1092.43084 1.060581e-06
2020-07-08 12:35:17.979959 1092.31123 1092.43151 9.8251023e-07
2020-07-08 12:35:18.047963 1092.31189 1092.43084 8.80210597e-07
2020-07-08 12:35:18.136968 1092.31049 1092.42996 9.01747362e-07
2020-07-08 12:35:18.214972 1092.31101 1092.42708 9.48186011e-07
2020-07-08 12:35:18.302977 1092.31336 1092.42701 1.1420169e-06
2020-07-08 12:35:18.373981 1092.31351 1092.42989 1.15951552e-06
2020-07-08 12:35:18.434985 1092.31255 1092.43025 1.22951e-06
2020-07-08 12:35:18.510989 1092.31071 1092.43158 1.19922393e-06
2020-07-08 12:35:18.595994 1092.31005 1092.42922 1.27056446e-06
2020-07-08 12:35:18.657998 1092.31145 1092.42959 1.13595968e-06
2020-07-08 12:35:18.733002 1092.31163 1092.42922 9.50876532e-07
2020-07-08 12:35:18.822007 1092.31217 1092.4293 9.71738009e-07
2020-07-08 12:35:18.892011 1092.31432 1092.42893 1.08749693e-06
2020-07-08 12:35:18.968015 1092.3134 1092.42863 1.03567356e-06
2020-07-08 12:35:19.045020 1092.31532 1092.42981 9.90580983e-07
2020-07-08 12:35:19.114024 1092.31657 1092.42856 9.0645305e-07
2020-07-08 12:35:19.175027 1092.31628 1092.42907 1.00606052e-06
2020-07-08 12:35:19.253032 1092.31429 1092.42915 1.07605496e-06
2020-07-08 12:35:19.326036 1092.31546 1092.4318 1.02625123e-06
2020-07-08 12:35:19.394040 1092.31517 1092.43232 9.76447491e-07
2020-07-08 12:35:19.460044 1092.3123 1092.43283 8.68090713e-07
2020-07-08 12:35:19.539048 1092.31185 1092.43047 6.54069252e-07
2020-07-08 12:35:19.601052 1092.30979 1092.42937 6.33878548e-07
2020-07-08 12:35:19.662055 1092.31355 1092.42944 7.58387889e-07
2020-07-08 12:35:19.736059 1092.31458 1092.43151 7.80597663e-07
2020-07-08 12:35:19.800063 1092.31502 1092.43179 9.18567473e-07
2020-07-08 12:35:19.877067 1092.31694 1092.42986 9.09818168e-07
2020-07-08 12:35:19.953072 1092.31591 1092.42881 9.1991352e-07
2020-07-08 12:35:20.020076 1092.3148 1092.42933 1.09557264e-06
2020-07-08 12:35:20.100080 1092.31399 1092.42903 1.3122862e-06
2020-07-08 12:35:20.176085 1092.31495 1092.4288 1.28334619e-06
2020-07-08 12:35:20.252089 1092.31303 1092.42777 1.15479871e-06
2020-07-08 12:35:20.314092 1092.31296 1092.42726 1.07807403e-06
2020-07-08 12:35:20.384096 1092.31163 1092.42932 1.10634102e-06
2020-07-08 12:35:20.456101 1092.31502 1092.42903 1.20258337e-06
2020-07-08 12:35:20.560107 1092.31355 1092.42947 1.18239267e-06
2020-07-08 12:35:20.649112 1092.31495 1092.4305 1.15076057e-06
2020-07-08 12:35:20.714115 1092.312 1092.43146 1.09691869e-06
2020-07-08 12:35:20.787120 1092.31384 1092.43065 1.00202238e-06
2020-07-08 12:35:20.861124 1092.31274 1092.4288 9.80485631e-07
2020-07-08 12:35:20.945129 1092.31259 1092.4288 9.25970803e-07
2020-07-08 12:35:21.038134 1092.31297 1092.43013 1.00942582e-06
2020-07-08 12:35:21.117138 1092.31478 1092.42976 1.12182079e-06
2020-07-08 12:35:21.188142 1092.31598 1092.42829 1.09961104e-06
