Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2020-07-10 10:53:23.741839 310.68376994132996 11 12 10.0 10.0 3.00632e-06 1.49944e-07 -3.53252e-06 7.09671e-07
2020-07-10 10:58:33.961583 620.9035134315491 11 12 15.848 15.8477 3.66663e-06 7.06877e-07 -3.42263e-06 9.61132e-07
2020-07-10 11:03:39.103036 926.0429663658142 11 12 25.11 25.1093 3.9656e-06 2.41214e-07 -2.84055e-06 1.47988e-06
2020-07-10 11:08:49.346781 1236.2877113819122 11 12 39.81 39.8111 4.11927e-06 3.58561e-07 -2.45871e-06 4.82429e-07
2020-07-10 11:13:59.583525 1546.5234558582306 11 12 63.09 63.0894 3.56698e-06 -1.15484e-07 -2.58909e-06 2.04892e-08
2020-07-10 11:19:40.690035 1887.6319663524628 11 12 100.0 99.9985 3.19445e-06 -5.15025e-07 -2.94393e-06 1.21073e-07
2020-07-10 11:24:50.922780 2197.8627104759216 11 12 158.48 158.478 2.90108e-06 -8.75448e-08 -2.91599e-06 4.8429e-08
2020-07-10 11:30:01.144523 2508.086454153061 11 12 251.1 251.095 2.73903e-06 -6.51929e-09 -2.91412e-06 8.38195e-08
2020-07-10 11:35:11.371267 2818.3111979961395 11 12 398.1 398.1 2.94765e-06 4.8429e-08 -2.90108e-06 9.6858e-08
2020-07-10 11:40:36.824882 3143.7668130397797 11 12 630.9 630.909 2.99701e-06 5.77422e-08 -2.88805e-06 1.02446e-07
