Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2020-08-22 18:49:34.503203 2165.999887943268 15 14 0.01 0.01 -2.04706e-05 -1.16975e-06 -0.000109222 -8.78057e-06
2020-08-22 19:19:39.717455 3971.2141404151917 15 14 0.0158 0.01 -2.09623e-05 -9.76033e-07 -0.000109222 -3.59492e-06
2020-08-22 19:49:44.949709 5776.4453938007355 15 14 0.0251 0.0157 -2.14839e-05 -8.34469e-07 -0.000109222 -4.88016e-06
2020-08-22 20:20:50.204395 7641.700080156326 15 14 0.0398 0.0398 -2.19682e-05 -7.45062e-07 -0.000109222 -5.26014e-06
2020-08-22 20:51:35.441937 9486.937621831894 15 14 0.0631 0.0631 -2.09884e-05 -9.53682e-07 -0.000109222 -5.52463e-06
2020-08-22 21:12:01.172044 10712.667729377747 13 14 0.1 0.1 -2.10145e-05 -7.97216e-07 -0.000109222 -4.61566e-06
2020-08-22 21:32:26.393123 11937.890808105469 13 14 0.1585 0.1585 -2.08953e-05 -9.16425e-07 -0.000109222 -5.4017e-06
2020-08-22 21:52:51.612202 13163.10788655281 13 14 0.2512 0.2512 -2.12343e-05 -8.5682e-07 -0.000109222 -5.31602e-06
2020-08-22 22:13:16.833280 14388.328965425491 13 14 0.3981 0.398 -2.17707e-05 -6.66831e-07 -0.000109222 -3.68433e-06
2020-08-22 22:33:42.062359 15613.559044361115 13 14 0.631 0.631 -2.11262e-05 -6.37028e-07 -0.000109222 -3.62472e-06
2020-08-22 22:48:47.777163 16519.27384829521 12 14 1.0 0.631 -2.14764e-05 -3.61355e-07 -0.000109222 -1.8403e-06
2020-08-22 23:03:47.935649 17419.431334495544 12 14 1.5849 1.0 -2.14727e-05 -3.61355e-07 -0.000109222 -1.8403e-06
2020-08-22 23:18:53.142424 18324.637109279633 12 14 2.511 1.5849 -2.09325e-05 -3.20377e-07 -0.000109222 -1.71364e-06
2020-08-22 23:34:03.362486 19234.860171079636 12 14 3.981 3.981 -2.10555e-05 -3.20377e-07 -0.000109222 -1.60188e-06
2020-08-22 23:49:13.581547 20145.07723236084 12 14 6.309 6.3088 -2.1346e-05 -2.27244e-07 -0.000109222 -1.12132e-06
2020-08-22 23:59:24.320480 20755.81716489792 11 14 10.0 9.9998 -2.1618e-05 -1.22935e-07 -0.000109222 -5.81149e-07
2020-08-23 00:09:34.540382 21366.03706741333 11 14 15.848 15.8477 -2.10704e-05 -1.89991e-07 -0.000109222 -6.40754e-07
2020-08-23 00:19:39.707996 21971.204680919647 11 14 25.11 25.1093 -2.10666e-05 -2.45871e-07 -0.000109222 2.0899e-06
2020-08-23 00:29:44.860609 22576.357293605804 11 14 39.81 39.8102 -2.10964e-05 -6.70557e-08 -0.000109222 6.18402e-07
2020-08-23 00:39:55.085512 23186.581196546555 11 14 63.09 63.0894 -2.12454e-05 -1.49013e-08 -0.000109222 -1.11759e-08
