Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2021-03-26 15:28:14.079578 1946.494333267212 15 16 0.01 0.01 -0.000145585 1.11163e-05 1.1921e-06 6.0201e-06
2021-03-26 16:00:09.526135 3861.940890789032 15 16 0.0158 0.0157 -0.000152082 1.55569e-05 -2.95044e-06 3.54649e-06
2021-03-26 16:31:14.785822 5727.199577093124 15 16 0.0251 0.025 -0.000156165 2.37526e-05 -8.97056e-06 6.49694e-06
2021-03-26 17:02:40.060653 7612.475409030914 15 16 0.0398 0.0397 -0.000149609 3.52266e-05 -7.12278e-06 7.65926e-06
2021-03-26 17:33:25.305195 9457.719950675964 15 16 0.0631 0.0631 -0.000137419 4.90549e-05 -4.05314e-06 8.31491e-06
2021-03-26 17:54:11.060448 10703.475203990936 13 14 0.1 0.1 -0.000109222 6.36769e-05 -2.57047e-07 9.16055e-06
2021-03-26 18:14:36.282527 11928.696282625198 13 14 0.1585 0.1584 -9.03611e-05 7.5378e-05 3.36023e-06 7.78219e-06
2021-03-26 18:35:01.500605 13153.91636133194 13 14 0.2512 0.2512 -5.72281e-05 7.18837e-05 6.13558e-06 3.88923e-06
2021-03-26 18:55:26.725684 14379.139440059662 13 14 0.3981 0.398 -3.00595e-05 5.95788e-05 6.81731e-06 1.04309e-06
2021-03-26 19:15:51.944763 15604.358518600464 13 14 0.631 0.631 -1.3657e-05 4.25952e-05 5.92697e-06 -1.79187e-06
2021-03-26 19:35:57.660726 16810.073481321335 12 14 1.0 0.631 -5.79658e-06 2.83868e-05 4.03452e-06 -2.83869e-06
2021-03-26 19:56:02.863660 18015.279415130615 12 14 1.5849 1.0 -2.60027e-06 1.82093e-05 2.49968e-06 -2.98025e-06
2021-03-26 20:16:08.079594 19220.494349718094 12 14 2.511 1.5849 -1.33366e-06 1.15447e-05 1.26288e-06 -2.55184e-06
2021-03-26 20:36:18.300815 20430.71557021141 12 14 3.981 3.9809 -1.07289e-06 7.10043e-06 2.60772e-07 -2.09363e-06
2021-03-26 20:56:23.454745 21635.87050127983 12 14 6.309 6.3088 -1.04681e-06 7.28297e-06 -2.23518e-07 -1.96324e-06
2021-03-26 21:06:34.192678 22246.60743331909 11 14 10.0 9.9998 -6.92908e-07 2.86849e-06 -2.53322e-07 -9.83484e-07
2021-03-26 21:16:44.425581 22856.84033679962 11 14 15.848 15.8482 -3.91157e-07 1.96324e-06 -1.30386e-07 -1.04309e-07
2021-03-26 21:26:54.644484 23467.059239149094 11 14 25.11 25.1102 -1.93716e-07 1.59071e-06 2.23519e-08 3.09201e-07
2021-03-26 21:37:04.870386 24077.283142089844 11 14 39.81 39.8111 -1.26661e-07 1.34856e-06 6.70557e-08 5.62522e-07
2021-03-26 21:47:15.104290 24687.520045757294 11 14 63.09 63.0894 -9.6858e-08 5.10368e-07 6.70557e-08 0.0
