Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2021-05-27 13:58:49.781817 2405.6595957279205 15 21 0.01 0.01 -0.00244333 0.000141145 -0.00144196 9.05995e-05
2021-05-27 14:40:55.084256 4930.98303604126 15 21 0.0158 0.0157 -0.0024109 0.000134469 -0.0014267 8.58312e-05
2021-05-27 15:22:20.365406 7416.264186143875 15 21 0.0251 0.025 -0.00236227 0.000129701 -0.00139809 8.39238e-05
2021-05-27 16:03:05.598265 9861.49704527855 15 21 0.0398 0.0397 -0.00231268 0.000140191 -0.00136948 8.86922e-05
2021-05-27 16:43:50.859126 12306.757906198502 15 21 0.0631 0.0631 -0.00228788 0.000141145 -0.00135613 8.77385e-05
2021-05-27 17:04:16.597234 13532.496014356613 14 21 0.1 0.0999 -0.00224592 0.000144959 -0.00133134 8.96459e-05
2021-05-27 17:24:41.849315 14757.748094797134 14 21 0.1585 0.1585 -0.00221159 0.000132562 -0.00131226 7.91554e-05
2021-05-27 17:45:07.069393 15982.968173265457 14 21 0.2512 0.2512 -0.00218393 0.000117302 -0.00129796 6.8665e-05
2021-05-27 18:05:32.311473 17208.210253238678 14 21 0.3981 0.398 -0.00214769 9.72752e-05 -0.00127984 5.53133e-05
2021-05-27 18:25:57.554553 18433.453333377838 14 21 0.631 0.631 -0.00212862 7.43871e-05 -0.00127221 4.19619e-05
2021-05-27 18:46:03.206512 19639.10329246521 13 20 1.0 0.631 -0.00210096 5.6267e-05 -0.00126267 3.24252e-05
2021-05-27 19:06:08.414446 20844.31422638893 13 20 1.5849 1.0 -0.00207998 4.48229e-05 -0.00125218 2.71798e-05
2021-05-27 19:26:13.611380 22049.51015996933 13 20 2.511 1.5849 -0.002059 4.86376e-05 -0.00124026 3.00409e-05
2021-05-27 19:46:18.748310 23254.648089647293 13 20 3.981 3.9811 -0.002059 4.86376e-05 -0.00124026 3.00409e-05
2021-05-27 20:06:23.893240 24459.793020248413 13 20 6.309 6.309 -0.00206663 3.8624e-05 -0.00124598 2.43188e-05
2021-05-27 20:16:34.554168 25070.452947854996 11 20 10.0 10.0 -0.0020671 3.33788e-05 -0.00124694 1.90736e-05
2021-05-27 20:26:44.771070 25680.668850183487 11 20 15.848 15.8477 -0.00204708 3.14715e-05 -0.00123502 1.33515e-05
2021-05-27 20:36:54.989973 26290.890753030777 11 20 25.11 25.1093 -0.00201227 2.76567e-05 -0.00121403 1.1921e-05
2021-05-27 20:47:05.208875 26901.10865545273 11 20 39.81 39.8102 -0.00201894 2.62262e-05 -0.00121785 1.1921e-05
2021-05-27 20:57:15.426778 27511.32655787468 11 20 63.09 63.0913 -0.00200368 2.52725e-05 -0.00120831 1.38283e-05
