Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2021-06-30 13:19:41.560175 1880.9705855846405 15 21 0.01 0.01 -0.000359537 3.71935e-05 1.90736e-05 1.14442e-05
2021-06-30 13:52:26.905587 3846.3169968128204 15 21 0.0158 0.0157 -0.000329973 2.47956e-05 4.00546e-05 3.81473e-06
2021-06-30 14:23:32.159273 5711.570683479309 15 21 0.0251 0.025 -0.000330927 3.05178e-05 3.62399e-05 5.72208e-06
2021-06-30 14:54:57.434105 7596.845515012741 15 21 0.0398 0.0397 -0.000326158 2.47956e-05 3.71935e-05 -1.90736e-06
2021-06-30 15:25:42.680647 9442.092056751251 15 21 0.0631 0.0631 -0.000323297 3.52862e-05 3.71935e-05 -2.86104e-06
2021-06-30 15:46:28.380897 10687.791306734085 14 21 0.1 0.1 -0.000316622 4.86376e-05 3.81472e-05 -5.72208e-06
2021-06-30 16:06:53.601975 11913.013385534286 14 21 0.1585 0.1585 -0.000308039 7.05724e-05 3.52862e-05 -9.5368e-06
2021-06-30 16:27:18.817054 13138.228463888168 14 21 0.2512 0.2512 -0.000284197 9.91826e-05 3.24252e-05 -1.33515e-05
2021-06-30 16:47:44.038132 14363.44954252243 14 21 0.3981 0.398 -0.000243188 0.000128747 2.76567e-05 -1.81199e-05
2021-06-30 17:08:09.254211 15588.666620969772 14 21 0.631 0.631 -0.000185014 0.000145913 1.90736e-05 -2.00273e-05
2021-06-30 17:28:14.899170 16794.310579776764 13 21 1.0 0.631 -0.000122071 0.000139237 1.14442e-05 -2.00273e-05
2021-06-30 17:48:20.128105 17999.539514780045 13 21 1.5849 1.0 -7.34334e-05 0.000114441 3.81473e-06 -1.62126e-05
2021-06-30 18:08:25.333039 19204.743448495865 13 21 2.511 1.5849 -4.29156e-05 8.39238e-05 9.53682e-07 -1.14442e-05
2021-06-30 18:28:35.550259 20414.96166920662 13 21 3.981 3.981 -2.6703e-05 5.9128e-05 -2.86104e-06 -8.58313e-06
2021-06-30 18:48:45.774480 21625.186889886856 13 21 6.309 6.3088 -2.00273e-05 4.00546e-05 -4.7684e-06 -4.7684e-06
2021-06-30 18:58:56.441408 22235.851818084717 11 21 10.0 10.0 -1.62126e-05 2.86103e-05 -5.72208e-06 -2.86104e-06
2021-06-30 19:09:06.672311 22846.083721399307 11 21 15.848 15.8486 -1.33515e-05 2.19346e-05 -5.72208e-06 1.90736e-06
2021-06-30 19:19:16.902214 23456.313624620438 11 21 25.11 25.1102 -9.5368e-06 1.71663e-05 -3.81473e-06 3.81473e-06
2021-06-30 19:29:27.111116 24066.52252650261 11 21 39.81 39.8102 -4.7684e-06 1.23978e-05 0.0 3.81473e-06
2021-06-30 19:39:37.331019 24676.7414290905 11 21 63.09 63.0875 -1.90736e-06 3.81473e-06 1.90736e-06 0.0
